Vendor Name	Thomas Munch
Start Date	03/29/2026
End Date	05/02/2026
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
04/12/2026	04/13/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/04/2026	04/05/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/11/2026	04/12/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/09/2026	04/19/2026	6755629668	prosub	Pro Monthly		IAY	US	1	1.69	1.69	USD	1.990	USD	S			IL	
04/25/2026	04/27/2026	6756349275	prosub_wwfs	Pro Monthly		IAY	US	1	1.69	1.69	USD	1.990	USD	S			CA	
Country Of Sale	Partner Share Currency	Quantity	Extended Partner Share
BE	EUR	1	1.40
BR	BRL	1	9.58
CA	CAD	1	2.54
DK	DKK	90	1944.80
FR	EUR	1	1.41
NL	EUR	21	29.40
NO	NOK	6	118.32
SE	SEK	32	631.04
US	USD	2	3.38
